P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.006740754721535561,0.006740769839577772,0.006740769302164564,0.006740774287364048,0.006740798173248489,0.006740775097812771,0.9393330807107919,0.006740766847026768,0.006740746397865688,0.006740764622612468
0.005235763097045338,0.0052357575466734484,0.005235759112154213,0.00523577383466736,0.00523574891559795,0.005235758787117069,0.9528781731386667,0.0052357572741044064,0.005235755959623571,0.005235752334350042
0.007709263469822947,0.00770924985770545,0.007709257268826033,0.007709248687548006,0.0077092550371618,0.007709235158895647,0.9306167416950337,0.007709252268089775,0.007709251720375321,0.007709244836541478
0.004468414075965539,0.004468433539620458,0.004468411652071256,0.004468411731559341,0.004468415638857487,0.004468414737640467,0.9597842431838365,0.004468422343261768,0.00446841549489218,0.004468417602295187
0.0047268917132193815,0.004726890763649028,0.004726884805802961,0.004726885575025211,0.004726889459960161,0.004726886046668607,0.9574580068522384,0.004726891565747485,0.004726884789576927,0.0047268884281119515
0.005998178980954398,0.0059981539677199875,0.005998147725196057,0.005998161591983573,0.005998141023531801,0.0059981560392239975,0.9460166313115904,0.005998149828521902,0.005998134374285904,0.005998145156992152
0.004855108076691894,0.00485511414340325,0.004855095874714701,0.004855106040206552,0.004855107330360475,0.004855095008644493,0.9563040709030246,0.004855091334979481,0.00485511147608557,0.004855099811888767
0.0063333127322907305,0.006333296179687897,0.0063333252801750705,0.006333301759668891,0.006333299661169665,0.006333317860194707,0.943000231749344,0.00633329722237402,0.006333312833380251,0.006333304721714686
0.004550904889780271,0.0045509011672589805,0.00455090185810674,0.004550895068923672,0.004550901493580515,0.004550897802072216,0.9590419188171899,0.00455089040582286,0.004550894602758045,0.004550893894506789
0.005328044285774299,0.0053280486638680935,0.0053280453029935625,0.005328054231471604,0.00532804558171782,0.00532804595041751,0.9520475611435338,0.005328055470862999,0.005328046023765496,0.0053280533455946815
0.005412085065743578,0.005412089191595943,0.005412075323887818,0.005412081239638955,0.005412083794241827,0.005412081840783501,0.9512912559453088,0.005412089104354049,0.00541207221432134,0.0054120862801241955
0.005541775540918344,0.005541784909462344,0.005541778647673965,0.00554180844115034,0.005541791016208273,0.005541779125845995,0.9501239245997385,0.00554178590613806,0.005541773433646677,0.005541798379217585
0.004233684730147292,0.004233687401270153,0.004233686610604043,0.0042336970179151865,0.0042336898632889496,0.0042336907099918145,0.9618967990775895,0.004233683691937457,0.004233692679990627,0.004233688217264931
0.008269822363822826,0.008269858898452281,0.00826979875840163,0.0082698248895843,0.008269823205770889,0.008269809417307523,0.9255716445551039,0.008269806209034338,0.00826979607538254,0.008269815627139791
0.004826284258228705,0.004826277351716625,0.004826273940673879,0.004826279821844597,0.00482627502489787,0.004826275809994915,0.9565635020594153,0.004826280818921715,0.004826266696422307,0.004826284217884037
0.0055402011950988995,0.0055402141645810666,0.005540210053111335,0.005540212247340713,0.0055402089720186,0.005540215672587766,0.9501381308524012,0.005540190106655555,0.005540209274326971,0.005540207461877815
0.004690929874814536,0.0046909197056813874,0.004690936524594486,0.004690922766775215,0.004690931676398876,0.004690935069888281,0.9577816523854897,0.004690922726063671,0.0046909218915480826,0.004690927378745799
