P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.004216293919329336,0.004216287122519432,0.004216291121842798,0.004216295006877896,0.00421629925126831,0.004216291210771215,0.004216305416948571,0.004216294354493264,0.004216291248793152,0.9620533513471561
0.005742881868247165,0.0057429042691941835,0.005742894003947401,0.005742887584395145,0.005742887137487614,0.005742896769336659,0.005742912824504799,0.005742886207153873,0.005742893769356384,0.9483139555663769
0.004750267598288208,0.004750251292297824,0.004750264168329512,0.004750281798430036,0.004750270879980947,0.004750278087070083,0.004750375465304843,0.0047502687148559715,0.004750286384010228,0.9572474556114323
0.005330118243252877,0.005330127941181627,0.005330121752982559,0.005330116941210966,0.005330117021582686,0.005330116020564416,0.0053301294669438025,0.005330113946540053,0.005330120331137422,0.9520289183346036
0.005999581067518608,0.005999567294431234,0.005999576180225351,0.005999570023292874,0.005999569330396277,0.005999564800460147,0.005999570412269137,0.005999568296921538,0.005999583220716318,0.9460038493737686
0.00474211985396126,0.004742119166063207,0.004742135217011119,0.0047421477969431846,0.0047421483041421636,0.0047421413991026624,0.7333966754997805,0.004742131865682153,0.004742130113105868,0.22866625078420783
0.004947078893233119,0.004947190092511499,0.004947082881091388,0.004947081314448663,0.004947072243632159,0.004947085174133265,0.004947096396957462,0.004947084072255829,0.004947082516858382,0.9554761464148782
0.005428305565509435,0.00542829008491996,0.005428299394178294,0.005428302906700549,0.005428300837605478,0.005428288438674332,0.005428294515779006,0.005428302060133948,0.005428308445761257,0.9511453077507377
0.010142542588018959,0.010142577030423759,0.010142548993091858,0.01014259095608768,0.010142568011305772,0.010142537733454422,0.010142559757577675,0.010142551087613808,0.010142565081708806,0.9087169587607172
0.008364893590121712,0.008364950473391785,0.008364898556419073,0.008364900873606227,0.008364887743628842,0.00836487740322644,0.008364910286156506,0.008364875701444173,0.00836487141482041,0.9247159339571849
0.004784026845948821,0.0047840197785430135,0.004784035768351605,0.004784039313974789,0.00478403487541794,0.004784031328855387,0.004784191002135548,0.004784042749016537,0.004784026038661188,0.9569435522990952
0.0036837568690932356,0.9668449771666188,0.003683759124107754,0.0036837587680869973,0.0036837572682207453,0.0036837521427348966,0.0036837551205752186,0.0036837547941622815,0.0036837703497107984,0.003684958396689358
0.004958083021462596,0.004958083801147364,0.004958091492390241,0.004958085923142815,0.004958090894642466,0.004958086039387217,0.0049581337924476335,0.004958082705256322,0.004958090583805876,0.9553771717463175
0.008066242598604372,0.008066192300404281,0.008066186596694388,0.008066231921908843,0.008066220450101818,0.008066201824372827,0.008066229698806125,0.008066208136892785,0.008066220580712928,0.9274040658915017
